City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,chimore,-16.9833,-65.1333,22.15,99,96,0.31,BO,1674555406
202,ampanihy,-24.7,44.75,31.63,46,100,7.63,MG,1674555406
203,whitehorse,60.7161,-135.0538,-0.57,74,100,7.2,CA,1674555407
204,chemal,51.4111,86.005,-7.33,93,100,1.08,RU,1674555408
205,mangrol,21.1167,70.1167,23.58,35,32,6.06,IN,1674555401
206,amurzet,47.6967,131.0981,-25.91,93,100,1.6,RU,1674555408
207,turayf,31.6725,38.6637,13.14,44,0,3.09,SA,1674555409
208,baruun-urt,46.6806,113.2792,-22.91,84,100,6.61,MN,1674555409
209,padang,-0.9492,100.3543,28.03,86,100,2.65,ID,1674554754
210,sao filipe,14.8961,-24.4956,21.08,65,6,2.8,CV,1674555410
211,chauk,20.8833,94.8167,30.12,18,7,3.01,MM,1674555411
212,pasighat,28.0667,95.3333,24.12,31,89,1.04,IN,1674555411
213,zhigansk,66.7697,123.3711,-45.46,97,100,4.15,RU,1674555412
214,ulaanbaatar,47.9077,106.8832,-23.93,53,75,1.0,MN,1674555085
215,katsuura,35.1333,140.3,7.18,52,80,10.46,JP,1674555412
216,yokadouma,3.5167,15.05,35.42,16,44,0.43,CM,1674555413
217,port lincoln,-34.7333,135.8667,16.78,78,0,7.18,AU,1674555413
218,anadyr,64.75,177.4833,-20.72,65,0,2.0,RU,1674555414
219,torbay,47.6666,-52.7314,6.82,97,100,16.46,CA,1674555414
220,sotouboua,8.5667,0.9833,31.78,43,12,2.59,TG,1674555415
221,biltine,14.5333,20.9167,31.59,6,100,5.29,TD,1674555415
222,shangrao,28.4532,117.9686,2.73,56,45,3.42,CN,1674555415
223,mount isa,-20.7333,139.5,34.87,29,100,3.09,AU,1674555415
224,san lawrenz,36.0553,14.204,13.81,66,100,2.24,MT,1674555416
225,ambanja,-13.6833,48.45,24.3,92,96,1.43,MG,1674555417
226,belogorsk,50.9158,128.4611,-37.26,97,66,1.55,RU,1674555310
227,lorengau,-2.0226,147.2712,25.95,83,100,1.87,PG,1674555418
228,maizuru,35.45,135.3333,-2.35,88,100,11.2,JP,1674555318
229,pacific grove,36.6177,-121.9166,5.86,65,0,0.0,US,1674555418
230,taunggyi,20.7833,97.0333,24.5,22,13,1.27,MM,1674555419
231,rogovatoye,51.23,38.3818,-2.41,68,86,2.99,RU,1674555420
